Width,400,400,579,579,757.3333,757.3333,802,802,936,936,1110,1110,1204,1204,1290,1290,1470,1470,1606,1606,1650,1650,1829.333,1829.333,2008,2008
1.00,,-7.916,,-4.866,,-2.694,,-2.236,,-1.012,,3.16E-01,,9.39E-01,,1.463,,2.441,9.55E+10,3.091,9.25E+10,3.288,8.19E+10,4.028,7.36E+10,4.683
1.44,,-4.89,,-1.908,,1.98E-01,,6.39E-01,,1.813,9.83E+10,3.076,8.92E+10,3.664,8.22E+10,4.156,7.09E+10,5.067,6.43E+10,5.666,6.24E+10,5.846,5.59E+10,6.519,5.08E+10,7.105
1.89,,-2.679,,2.34E-01,,2.272,,2.697,8.80E+10,3.819,7.23E+10,5.016,6.60E+10,5.568,6.13E+10,6.027,5.34E+10,6.867,4.88E+10,7.414,4.75E+10,7.576,4.29E+10,8.177,3.94E+10,8.688
2.00,,-2.225,,6.72E-01,,2.693,9.91E+10,3.113,8.24E+10,4.223,6.80E+10,5.403,6.22E+10,5.947,5.77E+10,6.397,5.05E+10,7.221,4.62E+10,7.753,4.50E+10,7.912,4.08E+10,8.493,3.75E+10,8.982
2.33,,-1.011,,1.835,8.87E+10,3.807,8.28E+10,4.215,6.95E+10,5.287,5.77E+10,6.417,5.31E+10,6.934,4.95E+10,7.36,4.35E+10,8.13,4.00E+10,8.619,3.91E+10,8.762,3.56E+10,9.277,3.30E+10,9.684
2.78,,3.68E-01,9.91E+10,3.147,7.24E+10,5.05,6.79E+10,5.44,5.74E+10,6.46,4.82E+10,7.523,4.46E+10,8.002,4.17E+10,8.391,3.70E+10,9.077,3.43E+10,9.492,3.36E+10,9.607,3.10E+10,9.978,2.94E+10,10.15
3.00,,9.54E-01,9.04E+10,3.699,6.65E+10,5.568,6.25E+10,5.95,5.31E+10,6.945,4.48E+10,7.973,4.15E+10,8.432,3.89E+10,8.802,3.47E+10,9.439,3.23E+10,9.801,3.17E+10,9.895,2.96E+10,10.14,2.88E+10,10.06
3.22,,1.493,8.31E+10,4.205,6.15E+10,6.04,5.79E+10,6.414,4.94E+10,7.383,4.19E+10,8.375,3.88E+10,8.812,3.65E+10,9.16,3.27E+10,9.735,3.07E+10,10.02,3.02E+10,10.09,2.88E+10,10.12,2.94E+10,9.573
3.67,,2.474,7.14E+10,5.117,5.35E+10,6.883,5.05E+10,7.239,4.34E+10,8.153,3.71E+10,9.065,3.46E+10,9.449,3.27E+10,9.736,2.99E+10,10.11,2.88E+10,10.12,2.87E+10,10.04,3.05E+10,9.055,3.71E+10,6.805
4.00,9.90E+10,3.108,6.48E+10,5.7,4.89E+10,7.415,4.63E+10,7.757,3.99E+10,8.628,3.44E+10,9.47,3.22E+10,9.799,3.07E+10,10.02,2.88E+10,10.12,2.92E+10,9.635,2.99E+10,9.312,3.64E+10,7.013,4.83E+10,3.954
4.11,9.57E+10,3.306,6.28E+10,5.881,4.76E+10,7.578,4.50E+10,7.916,3.89E+10,8.771,3.36E+10,9.586,3.16E+10,9.894,3.01E+10,10.08,2.87E+10,10.04,2.99E+10,9.309,3.09E+10,8.873,3.93E+10,6.162,5.28E+10,3.048
4.56,8.42E+10,4.053,5.60E+10,6.558,4.29E+10,8.182,4.06E+10,8.5,3.54E+10,9.288,3.10E+10,9.962,2.94E+10,10.13,2.87E+10,10.11,3.03E+10,9.069,3.64E+10,6.978,3.93E+10,6.13,5.44E+10,2.711,7.50E+10,-4.57E-02
5.00,7.53E+10,4.7,5.07E+10,7.137,3.92E+10,8.687,3.72E+10,8.983,3.27E+10,9.687,2.92E+10,10.14,2.85E+10,10.05,2.91E+10,9.582,3.66E+10,6.861,4.80E+10,3.935,5.23E+10,3.061,7.44E+10,-2.25E-02,,-2.352

