b ,"leafValue( getData("":pwr"" ?result ""dc"") ""a"" 2.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.63e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.8175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.005e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.1925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.38e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.5675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.755e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.9425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.13e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.3175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.505e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.6925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.63e-06 ) (W)"
620,3.25E-04,3.44E-04,3.63E-04,3.82E-04,4.00E-04,4.18E-04,4.36E-04,4.54E-04,4.72E-04,4.89E-04,5.06E-04,5.23E-04,5.40E-04,5.57E-04,5.73E-04,5.89E-04,6.05E-04,6.21E-04,6.37E-04,6.53E-04,6.68E-04
625.5,3.25E-04,3.44E-04,3.63E-04,3.81E-04,4.00E-04,4.18E-04,4.36E-04,4.54E-04,4.71E-04,4.88E-04,5.06E-04,5.22E-04,5.39E-04,5.56E-04,5.72E-04,5.88E-04,6.04E-04,6.20E-04,6.36E-04,6.52E-04,6.67E-04
631,3.25E-04,3.44E-04,3.63E-04,3.81E-04,3.99E-04,4.18E-04,4.35E-04,4.53E-04,4.71E-04,4.88E-04,5.05E-04,5.22E-04,5.38E-04,5.55E-04,5.71E-04,5.88E-04,6.04E-04,6.19E-04,6.35E-04,6.50E-04,6.66E-04
636.5,3.25E-04,3.43E-04,3.62E-04,3.81E-04,3.99E-04,4.17E-04,4.35E-04,4.53E-04,4.70E-04,4.87E-04,5.04E-04,5.21E-04,5.38E-04,5.54E-04,5.71E-04,5.87E-04,6.03E-04,6.18E-04,6.34E-04,6.49E-04,6.65E-04
642,3.24E-04,3.43E-04,3.62E-04,3.80E-04,3.99E-04,4.17E-04,4.34E-04,4.52E-04,4.69E-04,4.87E-04,5.04E-04,5.20E-04,5.37E-04,5.53E-04,5.70E-04,5.86E-04,6.02E-04,6.17E-04,6.33E-04,6.48E-04,6.64E-04
647.5,3.24E-04,3.43E-04,3.62E-04,3.80E-04,3.98E-04,4.16E-04,4.34E-04,4.51E-04,4.69E-04,4.86E-04,5.03E-04,5.20E-04,5.36E-04,5.53E-04,5.69E-04,5.85E-04,6.01E-04,6.16E-04,6.32E-04,6.47E-04,6.63E-04
653,3.24E-04,3.43E-04,3.61E-04,3.80E-04,3.98E-04,4.16E-04,4.33E-04,4.51E-04,4.68E-04,4.85E-04,5.02E-04,5.19E-04,5.36E-04,5.52E-04,5.68E-04,5.84E-04,6.00E-04,6.16E-04,6.31E-04,6.46E-04,6.61E-04
658.5,3.23E-04,3.42E-04,3.61E-04,3.79E-04,3.97E-04,4.15E-04,4.33E-04,4.50E-04,4.68E-04,4.85E-04,5.02E-04,5.18E-04,5.35E-04,5.51E-04,5.67E-04,5.83E-04,5.99E-04,6.15E-04,6.30E-04,6.45E-04,6.60E-04
664,3.23E-04,3.42E-04,3.61E-04,3.79E-04,3.97E-04,4.15E-04,4.32E-04,4.50E-04,4.67E-04,4.84E-04,5.01E-04,5.18E-04,5.34E-04,5.50E-04,5.66E-04,5.82E-04,5.98E-04,6.14E-04,6.29E-04,6.44E-04,6.59E-04
669.5,3.23E-04,3.42E-04,3.60E-04,3.78E-04,3.97E-04,4.14E-04,4.32E-04,4.49E-04,4.67E-04,4.84E-04,5.00E-04,5.17E-04,5.33E-04,5.50E-04,5.66E-04,5.81E-04,5.97E-04,6.13E-04,6.28E-04,6.43E-04,6.58E-04
